epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,76.0084,1.84293,0.39232,0.92464,1.61079,0.00333095,0.00333095,0.00333095
2,144.695,1.75723,0.42786,0.93107,1.61424,0.00659831,0.00659831,0.00659831
3,208.234,1.64097,0.47,0.95411,1.39181,0.00979967,0.00979967,0.00979967
4,270.65,1.54285,0.50768,0.96554,1.27115,0.009703,0.009703,0.009703
5,333.051,1.46096,0.52661,0.96375,1.22914,0.009604,0.009604,0.009604
6,395.522,1.40899,0.52518,0.96821,1.20976,0.009505,0.009505,0.009505
7,454.599,1.3681,0.555,0.97607,1.14264,0.009406,0.009406,0.009406
8,516.979,1.34103,0.55857,0.97554,1.15681,0.009307,0.009307,0.009307
9,579.444,1.31706,0.58107,0.97714,1.1079,0.009208,0.009208,0.009208
10,641.649,1.297,0.57321,0.98018,1.09441,0.009109,0.009109,0.009109
11,703.998,1.27978,0.58875,0.98536,1.06527,0.00901,0.00901,0.00901
12,766.462,1.26967,0.595,0.98232,1.06215,0.008911,0.008911,0.008911
13,829.263,1.25647,0.59518,0.98268,1.04817,0.008812,0.008812,0.008812
14,888.748,1.24564,0.61339,0.98232,1.03003,0.008713,0.008713,0.008713
15,951.426,1.23188,0.60982,0.98071,1.02856,0.008614,0.008614,0.008614
16,1014.18,1.22912,0.60661,0.98571,1.01593,0.008515,0.008515,0.008515
17,1076.9,1.21383,0.61821,0.98339,0.99792,0.008416,0.008416,0.008416
18,1139.58,1.20366,0.61714,0.98411,1.00048,0.008317,0.008317,0.008317
19,1202.44,1.20846,0.61875,0.98482,0.99395,0.008218,0.008218,0.008218
20,1265.09,1.19004,0.61821,0.98589,0.98421,0.008119,0.008119,0.008119
21,1327.91,1.19209,0.62857,0.9875,0.96558,0.00802,0.00802,0.00802
22,1387.76,1.17765,0.63339,0.98536,0.96323,0.007921,0.007921,0.007921
23,1450.9,1.17814,0.63232,0.98446,0.96054,0.007822,0.007822,0.007822
24,1514.15,1.169,0.63018,0.98571,0.96071,0.007723,0.007723,0.007723
25,1577.43,1.16007,0.63732,0.98536,0.95115,0.007624,0.007624,0.007624
26,1641.69,1.15348,0.63964,0.98554,0.94849,0.007525,0.007525,0.007525
27,1705.17,1.14521,0.64196,0.98786,0.93502,0.007426,0.007426,0.007426
28,1768.59,1.14602,0.65107,0.98625,0.93337,0.007327,0.007327,0.007327
29,1831.82,1.13227,0.64821,0.98714,0.92859,0.007228,0.007228,0.007228
30,1895.19,1.13121,0.64375,0.98696,0.931,0.007129,0.007129,0.007129
31,1955.16,1.12699,0.64429,0.98643,0.9319,0.00703,0.00703,0.00703
32,2018.35,1.11876,0.64946,0.98625,0.92806,0.006931,0.006931,0.006931
33,2081.62,1.12509,0.64875,0.98643,0.92307,0.006832,0.006832,0.006832
34,2144.77,1.11621,0.65339,0.98821,0.91643,0.006733,0.006733,0.006733
35,2207.99,1.10724,0.65393,0.98804,0.9147,0.006634,0.006634,0.006634
36,2271.32,1.11165,0.655,0.98857,0.91259,0.006535,0.006535,0.006535
37,2334.74,1.10295,0.65321,0.98964,0.91071,0.006436,0.006436,0.006436
38,2397.81,1.09931,0.65071,0.99,0.90931,0.006337,0.006337,0.006337
39,2460.93,1.09504,0.64929,0.98982,0.90717,0.006238,0.006238,0.006238
40,2520.64,1.08694,0.64964,0.98946,0.90628,0.006139,0.006139,0.006139
41,2583.7,1.08133,0.64982,0.98911,0.90519,0.00604,0.00604,0.00604
42,2646.67,1.08698,0.64964,0.98946,0.90495,0.005941,0.005941,0.005941
43,2709.9,1.07975,0.65036,0.98964,0.9047,0.005842,0.005842,0.005842
44,2773.23,1.07467,0.65143,0.98946,0.90378,0.005743,0.005743,0.005743
45,2836.48,1.07283,0.65464,0.98893,0.90286,0.005644,0.005644,0.005644
46,2900.22,1.0698,0.65518,0.98875,0.90128,0.005545,0.005545,0.005545
47,2964.07,1.07145,0.65661,0.98911,0.89926,0.005446,0.005446,0.005446
48,3027.83,1.06069,0.65411,0.98911,0.89758,0.005347,0.005347,0.005347
49,3087.95,1.05473,0.65589,0.98893,0.89576,0.005248,0.005248,0.005248
50,3151.62,1.05332,0.65696,0.98911,0.89425,0.005149,0.005149,0.005149
51,3215.39,1.05196,0.65821,0.98893,0.89307,0.00505,0.00505,0.00505
52,3279.06,1.05061,0.66071,0.98911,0.89151,0.004951,0.004951,0.004951
53,3342.7,1.04634,0.65964,0.98929,0.89014,0.004852,0.004852,0.004852
54,3406.34,1.0396,0.66089,0.98911,0.88881,0.004753,0.004753,0.004753
55,3469.93,1.03636,0.66179,0.98946,0.88774,0.004654,0.004654,0.004654
56,3533.83,1.02751,0.66179,0.98964,0.88671,0.004555,0.004555,0.004555
57,3597.51,1.02791,0.66196,0.98982,0.88542,0.004456,0.004456,0.004456
58,3661.18,1.02992,0.66196,0.99018,0.88433,0.004357,0.004357,0.004357
59,3721.7,1.02027,0.66179,0.99018,0.88313,0.004258,0.004258,0.004258
60,3785.54,1.00778,0.66214,0.99,0.88211,0.004159,0.004159,0.004159
61,3849.39,1.01337,0.66375,0.99,0.88119,0.00406,0.00406,0.00406
62,3913.33,1.00973,0.66536,0.99018,0.88038,0.003961,0.003961,0.003961
63,3977.23,1.00782,0.66554,0.99018,0.87957,0.003862,0.003862,0.003862
64,4040.85,0.99954,0.66661,0.99018,0.87858,0.003763,0.003763,0.003763
65,4104.62,1.00328,0.6675,0.99018,0.87748,0.003664,0.003664,0.003664
66,4168.48,0.99125,0.6675,0.99036,0.87635,0.003565,0.003565,0.003565
67,4232.01,0.99529,0.66714,0.99036,0.8755,0.003466,0.003466,0.003466
68,4295.23,0.98691,0.66732,0.99054,0.87471,0.003367,0.003367,0.003367
69,4355.62,0.98793,0.66768,0.99071,0.87393,0.003268,0.003268,0.003268
70,4419.42,0.979,0.66786,0.99071,0.87327,0.003169,0.003169,0.003169
71,4482.86,0.9786,0.66732,0.99107,0.87235,0.00307,0.00307,0.00307
72,4546.25,0.9622,0.66804,0.99107,0.87128,0.002971,0.002971,0.002971
73,4610.28,0.96275,0.66732,0.99107,0.87036,0.002872,0.002872,0.002872
74,4674.32,0.9642,0.66696,0.99089,0.86938,0.002773,0.002773,0.002773
75,4738.13,0.95682,0.66804,0.99107,0.86835,0.002674,0.002674,0.002674
76,4803.12,0.95134,0.66875,0.99089,0.86749,0.002575,0.002575,0.002575
77,4866.83,0.94453,0.66929,0.99089,0.86659,0.002476,0.002476,0.002476
78,4929.93,0.94224,0.67,0.99089,0.86577,0.002377,0.002377,0.002377
79,4993.52,0.94402,0.66982,0.99089,0.86478,0.002278,0.002278,0.002278
